idx,distractors,condition,good,bad
633,1,subj_pl_d1_sg,The [wugs] beside the cat run fast.,The [wugs] beside the cat runs fast.
634,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs runs fast.,The [wug] beside the cats and in front of the dogs run fast.
635,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog run fast.,The [wugs] beside the cat and in front of the dog runs fast.
636,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses runs fast.","The [wug] beside the cats, in front of the dogs, and next to the horses run fast."
637,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse run fast.","The [wugs] beside the cat, in front of the dog, and next to the horse runs fast."
638,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women runs fast.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women run fast."
639,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman run fast.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman runs fast."
640,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
641,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
642,1,subj_sg_d1_pl,The [wug] in front of the dogs runs fast.,The [wug] in front of the dogs run fast.
643,1,subj_pl_d1_sg,The [wugs] in front of the dog run fast.,The [wugs] in front of the dog runs fast.
644,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses runs fast.,The [wug] in front of the dogs and next to the horses run fast.
645,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse run fast.,The [wugs] in front of the dog and next to the horse runs fast.
646,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women runs fast.","The [wug] in front of the dogs, next to the horses, and past the women run fast."
647,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman run fast.","The [wugs] in front of the dog, next to the horse, and past the woman runs fast."
648,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men runs fast.","The [wug] in front of the dogs, next to the horses, past the women, and near the men run fast."
649,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man run fast.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man runs fast."
650,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
651,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
652,1,subj_sg_d1_pl,The [wug] next to the horses runs fast.,The [wug] next to the horses run fast.
653,1,subj_pl_d1_sg,The [wugs] next to the horse run fast.,The [wugs] next to the horse runs fast.
654,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women runs fast.,The [wug] next to the horses and past the women run fast.
655,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman run fast.,The [wugs] next to the horse and past the woman runs fast.
656,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men runs fast.","The [wug] next to the horses, past the women, and near the men run fast."
657,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man run fast.","The [wugs] next to the horse, past the woman, and near the man runs fast."
658,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes runs fast.","The [wug] next to the horses, past the women, near the men, and behind the foxes run fast."
659,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox run fast.","The [wugs] next to the horse, past the woman, near the man, and behind the fox runs fast."
660,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
661,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
662,1,subj_sg_d1_pl,The [wug] past the women runs fast.,The [wug] past the women run fast.
663,1,subj_pl_d1_sg,The [wugs] past the woman run fast.,The [wugs] past the woman runs fast.
664,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men runs fast.,The [wug] past the women and near the men run fast.
665,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man run fast.,The [wugs] past the woman and near the man runs fast.
666,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes runs fast.","The [wug] past the women, near the men, and behind the foxes run fast."
667,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox run fast.","The [wugs] past the woman, near the man, and behind the fox runs fast."
668,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds runs fast.","The [wug] past the women, near the men, behind the foxes, and under the birds run fast."
669,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird run fast.","The [wugs] past the woman, near the man, behind the fox, and under the bird runs fast."
670,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
671,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
672,1,subj_sg_d1_pl,The [wug] near the men runs fast.,The [wug] near the men run fast.
673,1,subj_pl_d1_sg,The [wugs] near the man run fast.,The [wugs] near the man runs fast.
674,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes runs fast.,The [wug] near the men and behind the foxes run fast.
675,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox run fast.,The [wugs] near the man and behind the fox runs fast.
676,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds runs fast.","The [wug] near the men, behind the foxes, and under the birds run fast."
677,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird run fast.","The [wugs] near the man, behind the fox, and under the bird runs fast."
678,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees runs fast.","The [wug] near the men, behind the foxes, under the birds, and beside the trees run fast."
679,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree run fast.","The [wugs] near the man, behind the fox, under the bird, and beside the tree runs fast."
680,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
681,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
682,1,subj_sg_d1_pl,The [wug] behind the foxes runs fast.,The [wug] behind the foxes run fast.
683,1,subj_pl_d1_sg,The [wugs] behind the fox run fast.,The [wugs] behind the fox runs fast.
684,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds runs fast.,The [wug] behind the foxes and under the birds run fast.
685,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird run fast.,The [wugs] behind the fox and under the bird runs fast.
686,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees runs fast.","The [wug] behind the foxes, under the birds, and beside the trees run fast."
687,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree run fast.","The [wugs] behind the fox, under the bird, and beside the tree runs fast."
688,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars runs fast.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars run fast."
689,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car run fast.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car runs fast."
690,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
691,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
692,1,subj_sg_d1_pl,The [wug] under the birds runs fast.,The [wug] under the birds run fast.
693,1,subj_pl_d1_sg,The [wugs] under the bird run fast.,The [wugs] under the bird runs fast.
694,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees runs fast.,The [wug] under the birds and beside the trees run fast.
695,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree run fast.,The [wugs] under the bird and beside the tree runs fast.
696,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars runs fast.","The [wug] under the birds, beside the trees, and in front of the cars run fast."
697,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car run fast.","The [wugs] under the bird, beside the tree, and in front of the car runs fast."
698,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes runs fast.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes run fast."
699,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box run fast.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box runs fast."
700,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
701,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
702,1,subj_sg_d1_pl,The [wug] near the trees eats apples.,The [wug] near the trees eat apples.
703,1,subj_pl_d1_sg,The [wugs] near the tree eat apples.,The [wugs] near the tree eats apples.
704,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars eats apples.,The [wug] near the trees and behind the cars eat apples.
705,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car eat apples.,The [wugs] near the tree and behind the car eats apples.
706,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes eats apples.","The [wug] near the trees, behind the cars, and under the boxes eat apples."
707,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box eat apples.","The [wugs] near the tree, behind the car, and under the box eats apples."
708,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats eats apples.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats eat apples."
709,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat eat apples.","The [wugs] near the tree, behind the car, under the box, and beside the cat eats apples."
710,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
711,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
712,1,subj_sg_d1_pl,The [wug] behind the cars eats apples.,The [wug] behind the cars eat apples.
713,1,subj_pl_d1_sg,The [wugs] behind the car eat apples.,The [wugs] behind the car eats apples.
714,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes eats apples.,The [wug] behind the cars and under the boxes eat apples.
715,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box eat apples.,The [wugs] behind the car and under the box eats apples.
716,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats eats apples.","The [wug] behind the cars, under the boxes, and beside the cats eat apples."
717,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat eat apples.","The [wugs] behind the car, under the box, and beside the cat eats apples."
718,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs eats apples.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs eat apples."
719,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog eat apples.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog eats apples."
720,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
721,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
722,1,subj_sg_d1_pl,The [wug] under the boxes eats apples.,The [wug] under the boxes eat apples.
723,1,subj_pl_d1_sg,The [wugs] under the box eat apples.,The [wugs] under the box eats apples.
724,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats eats apples.,The [wug] under the boxes and beside the cats eat apples.
725,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat eat apples.,The [wugs] under the box and beside the cat eats apples.
726,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs eats apples.","The [wug] under the boxes, beside the cats, and in front of the dogs eat apples."
727,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog eat apples.","The [wugs] under the box, beside the cat, and in front of the dog eats apples."
728,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses eats apples.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses eat apples."
729,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse eat apples.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse eats apples."
730,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
731,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
732,1,subj_sg_d1_pl,The [wug] beside the cats eats apples.,The [wug] beside the cats eat apples.
733,1,subj_pl_d1_sg,The [wugs] beside the cat eat apples.,The [wugs] beside the cat eats apples.
734,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs eats apples.,The [wug] beside the cats and in front of the dogs eat apples.
735,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog eat apples.,The [wugs] beside the cat and in front of the dog eats apples.
736,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses eats apples.","The [wug] beside the cats, in front of the dogs, and next to the horses eat apples."
737,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse eat apples.","The [wugs] beside the cat, in front of the dog, and next to the horse eats apples."
738,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women eats apples.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women eat apples."
739,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman eat apples.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman eats apples."
740,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
741,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
742,1,subj_sg_d1_pl,The [wug] in front of the dogs eats apples.,The [wug] in front of the dogs eat apples.
743,1,subj_pl_d1_sg,The [wugs] in front of the dog eat apples.,The [wugs] in front of the dog eats apples.
744,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses eats apples.,The [wug] in front of the dogs and next to the horses eat apples.
745,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse eat apples.,The [wugs] in front of the dog and next to the horse eats apples.
746,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women eats apples.","The [wug] in front of the dogs, next to the horses, and past the women eat apples."
747,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman eat apples.","The [wugs] in front of the dog, next to the horse, and past the woman eats apples."
748,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men eats apples.","The [wug] in front of the dogs, next to the horses, past the women, and near the men eat apples."
749,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man eat apples.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man eats apples."
750,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
751,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
752,1,subj_sg_d1_pl,The [wug] next to the horses eats apples.,The [wug] next to the horses eat apples.
753,1,subj_pl_d1_sg,The [wugs] next to the horse eat apples.,The [wugs] next to the horse eats apples.
754,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women eats apples.,The [wug] next to the horses and past the women eat apples.
755,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman eat apples.,The [wugs] next to the horse and past the woman eats apples.
756,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men eats apples.","The [wug] next to the horses, past the women, and near the men eat apples."
757,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man eat apples.","The [wugs] next to the horse, past the woman, and near the man eats apples."
758,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes eats apples.","The [wug] next to the horses, past the women, near the men, and behind the foxes eat apples."
759,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox eat apples.","The [wugs] next to the horse, past the woman, near the man, and behind the fox eats apples."
760,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
761,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
762,1,subj_sg_d1_pl,The [wug] past the women eats apples.,The [wug] past the women eat apples.
763,1,subj_pl_d1_sg,The [wugs] past the woman eat apples.,The [wugs] past the woman eats apples.
764,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men eats apples.,The [wug] past the women and near the men eat apples.
765,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man eat apples.,The [wugs] past the woman and near the man eats apples.
766,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes eats apples.","The [wug] past the women, near the men, and behind the foxes eat apples."
767,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox eat apples.","The [wugs] past the woman, near the man, and behind the fox eats apples."
768,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds eats apples.","The [wug] past the women, near the men, behind the foxes, and under the birds eat apples."
769,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird eat apples.","The [wugs] past the woman, near the man, behind the fox, and under the bird eats apples."
770,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
771,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
772,1,subj_sg_d1_pl,The [wug] near the men eats apples.,The [wug] near the men eat apples.
773,1,subj_pl_d1_sg,The [wugs] near the man eat apples.,The [wugs] near the man eats apples.
774,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes eats apples.,The [wug] near the men and behind the foxes eat apples.
775,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox eat apples.,The [wugs] near the man and behind the fox eats apples.
776,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds eats apples.","The [wug] near the men, behind the foxes, and under the birds eat apples."
777,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird eat apples.","The [wugs] near the man, behind the fox, and under the bird eats apples."
778,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees eats apples.","The [wug] near the men, behind the foxes, under the birds, and beside the trees eat apples."
779,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree eat apples.","The [wugs] near the man, behind the fox, under the bird, and beside the tree eats apples."
780,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
781,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
782,1,subj_sg_d1_pl,The [wug] behind the foxes eats apples.,The [wug] behind the foxes eat apples.
783,1,subj_pl_d1_sg,The [wugs] behind the fox eat apples.,The [wugs] behind the fox eats apples.
784,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds eats apples.,The [wug] behind the foxes and under the birds eat apples.
785,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird eat apples.,The [wugs] behind the fox and under the bird eats apples.
786,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees eats apples.","The [wug] behind the foxes, under the birds, and beside the trees eat apples."
787,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree eat apples.","The [wugs] behind the fox, under the bird, and beside the tree eats apples."
788,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars eats apples.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars eat apples."
789,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car eat apples.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car eats apples."
790,0,subj_sg,The [wug] eats apples.,The [wug] eat apples.
791,0,subj_pl,The [wugs] eat apples.,The [wugs] eats apples.
792,1,subj_sg_d1_pl,The [wug] under the birds eats apples.,The [wug] under the birds eat apples.
793,1,subj_pl_d1_sg,The [wugs] under the bird eat apples.,The [wugs] under the bird eats apples.
794,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees eats apples.,The [wug] under the birds and beside the trees eat apples.
795,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree eat apples.,The [wugs] under the bird and beside the tree eats apples.
796,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars eats apples.","The [wug] under the birds, beside the trees, and in front of the cars eat apples."
797,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car eat apples.","The [wugs] under the bird, beside the tree, and in front of the car eats apples."
798,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes eats apples.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes eat apples."
799,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box eat apples.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box eats apples."
800,0,subj_sg,The [wug] sleeps soundly.,The [wug] sleep soundly.
801,0,subj_pl,The [wugs] sleep soundly.,The [wugs] sleeps soundly.
802,1,subj_sg_d1_pl,The [wug] near the trees sleeps soundly.,The [wug] near the trees sleep soundly.
803,1,subj_pl_d1_sg,The [wugs] near the tree sleep soundly.,The [wugs] near the tree sleeps soundly.
804,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars sleeps soundly.,The [wug] near the trees and behind the cars sleep soundly.
805,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car sleep soundly.,The [wugs] near the tree and behind the car sleeps soundly.
806,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes sleeps soundly.","The [wug] near the trees, behind the cars, and under the boxes sleep soundly."
807,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box sleep soundly.","The [wugs] near the tree, behind the car, and under the box sleeps soundly."
808,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats sleeps soundly.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats sleep soundly."
809,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat sleep soundly.","The [wugs] near the tree, behind the car, under the box, and beside the cat sleeps soundly."
810,0,subj_sg,The [wug] sleeps soundly.,The [wug] sleep soundly.
811,0,subj_pl,The [wugs] sleep soundly.,The [wugs] sleeps soundly.
812,1,subj_sg_d1_pl,The [wug] behind the cars sleeps soundly.,The [wug] behind the cars sleep soundly.
813,1,subj_pl_d1_sg,The [wugs] behind the car sleep soundly.,The [wugs] behind the car sleeps soundly.
814,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes sleeps soundly.,The [wug] behind the cars and under the boxes sleep soundly.
815,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box sleep soundly.,The [wugs] behind the car and under the box sleeps soundly.
816,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats sleeps soundly.","The [wug] behind the cars, under the boxes, and beside the cats sleep soundly."
817,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat sleep soundly.","The [wugs] behind the car, under the box, and beside the cat sleeps soundly."
818,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs sleeps soundly.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs sleep soundly."
819,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog sleep soundly.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog sleeps soundly."
820,0,subj_sg,The [wug] sleeps soundly.,The [wug] sleep soundly.
821,0,subj_pl,The [wugs] sleep soundly.,The [wugs] sleeps soundly.
822,1,subj_sg_d1_pl,The [wug] under the boxes sleeps soundly.,The [wug] under the boxes sleep soundly.
823,1,subj_pl_d1_sg,The [wugs] under the box sleep soundly.,The [wugs] under the box sleeps soundly.
824,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats sleeps soundly.,The [wug] under the boxes and beside the cats sleep soundly.
825,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat sleep soundly.,The [wugs] under the box and beside the cat sleeps soundly.
826,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs sleeps soundly.","The [wug] under the boxes, beside the cats, and in front of the dogs sleep soundly."
827,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog sleep soundly.","The [wugs] under the box, beside the cat, and in front of the dog sleeps soundly."
828,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses sleeps soundly.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses sleep soundly."
829,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse sleep soundly.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse sleeps soundly."
830,0,subj_sg,The [wug] sleeps soundly.,The [wug] sleep soundly.
831,0,subj_pl,The [wugs] sleep soundly.,The [wugs] sleeps soundly.
832,1,subj_sg_d1_pl,The [wug] beside the cats sleeps soundly.,The [wug] beside the cats sleep soundly.
833,1,subj_pl_d1_sg,The [wugs] beside the cat sleep soundly.,The [wugs] beside the cat sleeps soundly.
834,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs sleeps soundly.,The [wug] beside the cats and in front of the dogs sleep soundly.
835,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog sleep soundly.,The [wugs] beside the cat and in front of the dog sleeps soundly.
836,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses sleeps soundly.","The [wug] beside the cats, in front of the dogs, and next to the horses sleep soundly."
837,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse sleep soundly.","The [wugs] beside the cat, in front of the dog, and next to the horse sleeps soundly."
